rating,name,url,timestamp,price,pid,reviews,desc
3.8 out of 5 stars,"
          
              
              
               
                  Acer Gateway NE46Rs1 14-inch Laptop (Pentium A1018/2GB/320GB/Linux/Integrated Graphics)
              
          
      ",http://www.amazon.in/Acer-Gateway-NE46Rs1-Integrated-Graphics/dp/B01FFBTR5M,2016-08-17 15:41:20.691000,"13,919.00",B01FFBTR5M,10 customer reviews," 2.1GHz Intel Pentium A1018 processor, 2GB DDR3 RAM, 320GB 5400rpm Serial ATA hard drive, 14-inch screen, Intel HD Graphics, Linux operating system"
4.0 out of 5 stars,"
          
              
              
               
                  Dell Vostro 15 3558 15.6-inch Laptop (Celeron Dual Core - 5th Gen /4GB/500GB/DOS) , Black
              
          
      ",http://www.amazon.in/Dell-Vostro-3558-15-6-inch-Celeron/dp/B011VFIY5K,2016-08-17 15:41:20.868000,"21,290.00",B011VFIY5K,37 customer reviews, Anti Reflective
3.0 out of 5 stars,"
          
              
              
               
                  YU YUNIQUE YU4711 Smartphone (Black)
              
          
      ",http://www.amazon.in/YU-YUNIQUE-YU4711-Smartphone-Black/dp/B015NJZCIC,2016-08-17 15:41:20.955000,"5,294.00",B015NJZCIC,88 customer reviews," 4.7-inch 1280 x 720 pixels IPS with Corning Gorilla Glass 3, Qualcomm Snapdragon 410 1.2 GHz Quad-Core with Android Lollipop, 8GB ROM, 1GB RAM(DDR3), 8MP rear camera with LED Flash, f/2.0,2MP front-facing camera, wide-angle lens, f/2.4 aperture, 4G LTE / 3G, FM radio, Wi-Fi 802.11 b/g/n, Bluetooth 4.0, GPS"
3.7 out of 5 stars,"
          
              
              
               
                  Micromax Canvas Lapbook L1160 11.6-inch Laptop (Intel Quad Core/2GB/32GB emmc Flash Drive/Windows 10/Integrated Graphics)
              
          
      ",http://www.amazon.in/Micromax-L1160-11-6-inch-Integrated-Graphics/dp/B01ERHNUY4,2016-08-17 15:41:21.092000,"10,499.00",B01ERHNUY4,86 customer reviews," Upto 1.83Ghz Intel Quad Core Processor, 2GB DDR3 RAM, 32GB eMMC Flash drive, 11.6-inch screen, Integrated graphics, Windows 10 operating system, Sleek, portable and light weight design"
3.3 out of 5 stars,"
          
              
              
               
                  Lenovo Ideapad 100 80RK002DIH 14-inch Laptop (Core i3-5005U/4GB/500GB/DOS/Integrated Graphics), Black
              
          
      ",http://www.amazon.in/Lenovo-80RK002DIH-i3-5005U-Integrated-Graphics/dp/B01DJC7Z4O,2016-08-17 15:41:21.309000,"22,999.00",B01DJC7Z4O,25 customer reviews," 2GHz Intel Core i3-5005U processor, 4GB DDR3L RAM, 500GB 5400rpm Serial ATA hard drive, 14-inch screen, Integrated Graphics, DOS"
3.6 out of 5 stars,"
          
              
              
               
                  Dell Inspiron 15 3558 Z565106HIN9 15.6-inch Laptop (Core i3-5005U/4GB/1TB/Windows 10/Integrated Graphics), Black
              
          
      ",http://www.amazon.in/Dell-Inspiron-Z565106HIN9-15-6-inch-Integrated/dp/B01FDFIR06,2016-08-17 15:41:21.499000,"34,549.00",B01FDFIR06,7 customer reviews," 2GHz Intel Core i3-5005U processor, 4GB DDR3L RAM, 1TB hard drive, 15.6-inch screen, Intel HD 5500 Graphics, Windows 10 operating system"
3.7 out of 5 stars,"
          
              
              
               
                  Lenovo IdeaPad 100S-11IBY 11.6-inch Laptop (Atom Z3735F/2GB/32GB/Windows 10/Integrated Graphics), Silver
              
          
      ",http://www.amazon.in/Lenovo-100S-11IBY-11-6-inch-Integrated-Graphics/dp/B01G1G4NFO,2016-08-17 15:41:21.588000,"13,999.00",B01G1G4NFO,24 customer reviews," 1.83GHz Intel Atom Z3735F processor, 2GB DDR3 RAM, 32GB flash memory, 11.6-inch screen, Integrated Graphics, Windows 10 operating system, 1kg laptop"
3.5 out of 5 stars,"
          
              
              
               
                  Acer One 10 S1002-15XR 10.1-inch Laptop (Atom Z3735F/2GB/32GB/Windows 10/Intel HD Graphics), Dark Silver
              
          
      ",http://www.amazon.in/Acer-S1002-15XR-10-1-inch-Windows-Graphics/dp/B01ABTQD3W,2016-08-17 15:41:21.666000,"14,990.00"
